district,mean_articles_per_month,n_months_observed
"Northeastern Pastoral Zone, Township, Wajir East, Wajir, Kenya",371.4375,48
"Eastern Pastoral Zone, Sankuri, Garissa Township, Garissa, Kenya",371.2708333333333,48
"Mandera Riverine Zone, Township, Mandera East, Mandera, Kenya",371.2291666666667,48
"Northeastern Agropastoral Zone, Moyale Township, Moyale, Marsabit, Kenya",371.2083333333333,48
"Eastern Pastoral Zone, Waberi, Garissa Township, Garissa, Kenya",371.1458333333333,48
"Eastern Pastoral Zone, Iftin, Garissa Township, Garissa, Kenya",371.125,48
"Eastern Pastoral Zone, Galbet, Garissa Township, Garissa, Kenya",371.0833333333333,48
"Eastern Pastoral Zone, Balambala, Garissa Township, Garissa, Kenya",371.0833333333333,48
"Kano-Katsina sudanian: sorghum, maize, rice, and groundnuts, Kaduna, Nigeria",362.5208333333333,48
"Central yams and maize belt, with cassava, rice, and soybeans, Nasarawa, Nigeria",353.8333333333333,48
"Kinshasa Peri-urban, Kasangulu, Kongo-Central, Democratic Republic of the Congo, Congo, The Democratic Republic of the",337.3125,48
"Fishing and Staples Riverine, City of Kinshasa, Kinshasa, Democratic Republic of the Congo, Congo, The Democratic Republic of the",335.625,48
"Kinshasa Peri-urban, City of Kinshasa, Kinshasa, Democratic Republic of the Congo, Congo, The Democratic Republic of the",335.625,48
"Cassava, Maize and Groundnuts, City of Kinshasa, Kinshasa, Democratic Republic of the Congo, Congo, The Democratic Republic of the",335.625,48
"Central plateau cereals and market gardening, Passore, Nord, Burkina Faso",308.2121212121212,33
"West cereals and remittances, Passore, Nord, Burkina Faso",308.2121212121212,33
"North-east maize dominant with rice, cowpeas, soybeans, and groundnuts, Damboa, Borno, Nigeria",304.0208333333333,48
"Cassava dominant with maize, yams, and tree-crops, Edo, Nigeria",289.75,48
"Sokoto-Rima-Kano riverine flood plain rice and fishing, Gusau, Zamfara, Nigeria",287.0416666666667,48
"Sokoto-Rima-Kano riverine flood plain rice and fishing, Kaura-Namoda, Zamfara, Nigeria",283.9166666666667,48
"Coastal strip and Niger Delta: fishing, cassava, plantain, oil palm, and rubber, Delta, Nigeria",276.2083333333333,48
"Kano-Katsina sahelian: millet, sorghum, sesame, and livestock, Dutsin-Ma, Katsina, Nigeria",274.25,48
"Central yams and maize belt, with cassava, rice, and soybeans, Oyo, Nigeria",264.875,48
"South-west cocoa with oil palm, tubers, and cereals, Oyo, Nigeria",264.875,48
"Cassava dominant with maize, yams, and tree-crops, Oyo, Nigeria",264.875,48
"South-east cassava, cereals, and oil palm with extensive off-farm work and trade, Anambra, Nigeria",250.45833333333334,48
"South-east rice dominant with cassava, yams, and oil palm, Anambra, Nigeria",249.95833333333334,48
"Benue river sugar cane, rice, and sugar estate labor, Taraba, Nigeria",245.0,48
"Southern Highland Cattle and Mixed Cropping, Moamba, Maputo, Mozambique",240.47916666666666,48
"Southern Highland Cattle and Mixed Cropping, Boane, Maputo, Mozambique",240.375,48
"Southern Coastal Rishing, Manioc, and Maize, Boane, Maputo, Mozambique",240.375,48
"Southern Highland Cattle and Mixed Cropping, Namaacha, Maputo, Mozambique",240.33333333333334,48
"Southern Highland Cattle and Mixed Cropping, Magude, Maputo, Mozambique",240.3125,48
"Southern Coastal Rishing, Manioc, and Maize, Cidade Da Matola, Maputo, Mozambique",240.04166666666666,48
"Southern Coastal Rishing, Manioc, and Maize, Marracuene, Maputo, Mozambique",240.0,48
"Southern Highland Cattle and Mixed Cropping, Matutuine, Maputo, Mozambique",239.9375,48
"Southern Coastal Rishing, Manioc, and Maize, Manhiça, Maputo, Mozambique",239.9375,48
"Southern Coastal Rishing, Manioc, and Maize, Manhica, Maputo, Mozambique",239.9375,48
"Southern Coastal Rishing, Manioc, and Maize, Maputo City, Maputo City, Mozambique",239.9375,48
"Southern Coastal Rishing, Manioc, and Maize, Matola City, Maputo, Mozambique",239.9375,48
"Southern Coastal Rishing, Manioc, and Maize, Matutuine, Maputo, Mozambique",239.9375,48
"Southern Coastal Rishing, Manioc, and Maize, Cidade De Maputo, Maputo City, Mozambique",239.9375,48
"Sokoto-Rima-Kano riverine flood plain rice and fishing, Maru, Zamfara, Nigeria",234.5625,48
"Sokoto-Rima-Kano riverine flood plain rice and fishing, Wamako, Sokoto, Nigeria",233.20833333333334,48
"Kano-Katsina sahelian: millet, sorghum, sesame, and livestock, Dutsi, Katsina, Nigeria",230.75,48
"South-west rice, cassava, and cattle with cross-border trade, Ogun, Nigeria",217.8125,48
"Cassava dominant with maize, yams, and tree-crops, Ogun, Nigeria",217.8125,48
"Central yams and maize belt, with cassava, rice, and soybeans, Ogun, Nigeria",217.8125,48
"Kano-Katsina sudanian: sorghum, maize, rice, and groundnuts, Malumfashi, Katsina, Nigeria",216.375,48
"Kano-Katsina sudanian: sorghum, maize, rice, and groundnuts, Danja, Katsina, Nigeria",214.9375,48
"Sokoto-Rima-Kano riverine flood plain rice and fishing, Birnin Magaji, Zamfara, Nigeria",210.41666666666666,48
"Urban, Bulawayo, Bulawayo, Zimbabwe",205.7,30
"Benue river sugar cane, rice, and sugar estate labor, Numan, Adamawa, Nigeria",205.29166666666666,48
"Cassava dominant with maize, yams, and tree-crops, Delta, Nigeria",205.14583333333334,48
"Benue river sugar cane, rice, and sugar estate labor, Lamurde, Adamawa, Nigeria",205.08333333333334,48
"Central yams and maize belt, with cassava, rice, and soybeans, Benue, Nigeria",204.95833333333334,48
"Cassava dominant with maize, yams, and tree-crops, Benue, Nigeria",204.95833333333334,48
"Cashews with oil palm, tubers, and maize, Benue, Nigeria",204.95833333333334,48
"Citrus fruits with tubers, cereals, soybeans, and groundnuts, Benue, Nigeria",204.95833333333334,48
"South-east cassava, cereals, and oil palm with extensive off-farm work and trade, Rivers, Nigeria",201.83333333333334,48
"Chad Basin: masakwa flood-recession sorghum and wheat, Rivers, Nigeria",201.33333333333334,48
"North-west and central maize dominant, with sorghum, sweet potatoes, and cowpeas, Kaduna, Nigeria",201.29166666666666,48
"Central yams and maize belt, with cassava, rice, and soybeans, Kaduna, Nigeria",201.29166666666666,48
"Central sorghum, maize, groundnuts, cowpeas, and sesame, Kaduna, Nigeria",201.29166666666666,48
"Coastal Medium Potential Farming Zone, Rabai, Kilifi, Kenya",198.85416666666666,48
"Coastal Marginal Agricultural Mixed Farming Zone, Rabai, Kilifi, Kenya",198.85416666666666,48
"North-west sorghum, maize, soybeans, and rice, Gusau, Zamfara, Nigeria",193.35416666666666,48
"Sokoto millet, cowpeas, groundnuts, and livestock, Kaura-Namoda, Zamfara, Nigeria",190.22916666666666,48
"South-east rice dominant with cassava, yams, and oil palm, Ebonyi, Nigeria",186.70833333333334,48
"Kano-Katsina sudanian: sorghum, maize, rice, and groundnuts, Faskari, Katsina, Nigeria",184.875,48
"Sokoto-Rima-Kano riverine flood plain rice and fishing, Faskari, Katsina, Nigeria",184.875,48
"Kano-Katsina sudanian: sorghum, maize, rice, and groundnuts, Funtua, Katsina, Nigeria",184.375,48
"Kano-Katsina sudanian: sorghum, maize, rice, and groundnuts, Bakori, Katsina, Nigeria",183.72916666666666,48
"Kano-Katsina sahelian: millet, sorghum, sesame, and livestock, Kurfi, Katsina, Nigeria",183.66666666666666,48
"Kano-Katsina sahelian: millet, sorghum, sesame, and livestock, Jigawa, Nigeria",181.22916666666666,48
"South-east rice dominant with cassava, yams, and oil palm, Enugu, Nigeria",178.64583333333334,48
"Cashews with oil palm, tubers, and maize, Enugu, Nigeria",178.64583333333334,48
"Fune IDP camp, Nigeria",178.52083333333334,48
"Western Agropastoral Millet, Ag Geneina, West Darfur, Sudan",176.08333333333334,48
"El Geneina Camps (Geneina, Ardamata, Kerending 1 & 2), Sudan",173.27083333333334,48
"Rainfed Sorghum Belt, Ag Geneina, West Darfur, Sudan",173.27083333333334,48
"Ouagadougou peri-urban, Oubritenga, Plateau-Central, Burkina Faso",172.0625,48
"Kano-Katsina sudanian: sorghum, maize, rice, and groundnuts, Dandume, Katsina, Nigeria",171.22916666666666,48
"Ouagadougou peri-urban, Kadiogo, Centre, Burkina Faso",170.5,48
"Southern Cattle and Cereal Farming, Beitbridge Rural, Matabeleland South, Zimbabwe",170.0,29
"Beitbridge South Western Lowveld Communal, Beitbridge Rural, Matabeleland South, Zimbabwe",169.75862068965517,29
"Kano-Katsina sahelian: millet, sorghum, sesame, and livestock, Rimi, Katsina, Nigeria",169.10416666666666,48
"Kano-Katsina sudanian: sorghum, maize, rice, and groundnuts, Kafur, Katsina, Nigeria",169.0625,48
"Sokoto-Rima-Kano riverine flood plain rice and fishing, Kafur, Katsina, Nigeria",169.0625,48
"Kano-Katsina sahelian: millet, sorghum, sesame, and livestock, Matazu, Katsina, Nigeria",168.20833333333334,48
"Kano-Katsina sahelian: millet, sorghum, sesame, and livestock, Bindawa, Katsina, Nigeria",167.875,48
"Sokoto-Rima-Kano riverine flood plain rice and fishing, Kankara, Katsina, Nigeria",167.83333333333334,48
"Kano-Katsina sudanian: sorghum, maize, rice, and groundnuts, Kankara, Katsina, Nigeria",167.83333333333334,48
"Kano-Katsina sahelian: millet, sorghum, sesame, and livestock, Dan Musa, Katsina, Nigeria",167.70833333333334,48
"South-west cocoa with oil palm, tubers, and cereals, Ondo, Nigeria",167.16666666666666,48
"Cassava dominant with maize, yams, and tree-crops, Ondo, Nigeria",167.16666666666666,48
"Kano-Katsina sahelian: millet, sorghum, sesame, and livestock, Baure, Katsina, Nigeria",165.75,48
"Kano-Katsina sahelian: millet, sorghum, sesame, and livestock, Charanchi, Katsina, Nigeria",164.66666666666666,48
"Kano-Katsina sahelian: millet, sorghum, sesame, and livestock, Batagarawa, Katsina, Nigeria",164.10416666666666,48
"Kano-Katsina sahelian: millet, sorghum, sesame, and livestock, Ingawa, Katsina, Nigeria",163.02083333333334,48
"Kano-Katsina sahelian: millet, sorghum, sesame, and livestock, Daura, Katsina, Nigeria",162.9375,48
"Sokoto-Rima-Kano riverine flood plain rice and fishing, Safana, Katsina, Nigeria",162.41666666666666,48
"Kano-Katsina sudanian: sorghum, maize, rice, and groundnuts, Musawa, Katsina, Nigeria",162.16666666666666,48
"Kano-Katsina sudanian: sorghum, maize, rice, and groundnuts, Sabuwa, Katsina, Nigeria",161.91666666666666,48
"Kano-Katsina sahelian: millet, sorghum, sesame, and livestock, Zango, Katsina, Nigeria",161.5625,48
"Kano-Katsina sahelian: millet, sorghum, sesame, and livestock, Kaita, Katsina, Nigeria",161.54166666666666,48
"Kano-Katsina sahelian: millet, sorghum, sesame, and livestock, Kusada, Katsina, Nigeria",161.54166666666666,48
"Kano-Katsina sahelian: millet, sorghum, sesame, and livestock, Kankia, Katsina, Nigeria",161.54166666666666,48
"Kano-Katsina sahelian: millet, sorghum, sesame, and livestock, Mashi, Katsina, Nigeria",161.33333333333334,48
"Kano-Katsina sahelian: millet, sorghum, sesame, and livestock, Mani, Katsina, Nigeria",161.33333333333334,48
"Kano-Katsina sahelian: millet, sorghum, sesame, and livestock, Mai'Adua, Katsina, Nigeria",161.29166666666666,48
"Kano-Katsina sahelian: millet, sorghum, sesame, and livestock, Sandamu, Katsina, Nigeria",161.25,48
"Kano-Katsina sahelian: millet, sorghum, sesame, and livestock, Katsina, Katsina, Nigeria",161.22916666666666,48
"Kano-Katsina sahelian: millet, sorghum, sesame, and livestock, Kano, Nigeria",161.22916666666666,48
"Kano-Katsina sudanian: sorghum, maize, rice, and groundnuts, Kano, Nigeria",161.22916666666666,48
