district,mean_articles_per_month,median_articles_per_month,n_months_observed,total_articles
"Ankaratra: staple crops, horticulture, milk, Antsirabe I, Vakinankaratra, Madagascar",706.6041666666666,454.0,48,33917.0
"Borno-Yobe-Bauchi millet, cowpeas, groundnuts, and sesame, Fune, Yobe, Nigeria",701.8333333333334,676.0,48,33688.0
"Niger and Benue rivers flood plain rice with maize, vegetables, and livestock, Delta, Nigeria",682.5416666666666,677.5,48,32762.0
"Central Highlands, High Potential Zone, Starehe, Nairobi, Kenya",667.2708333333334,645.5,48,32029.0
"Niger and Benue rivers flood plain rice with maize, vegetables, and livestock, Enugu, Nigeria",656.0416666666666,632.5,48,31490.0
"Rubkona, Unity, South Sudan",615.3333333333334,546.0,48,29536.0
"Mayendit, Unity, South Sudan",607.9583333333334,541.0,48,29182.0
"Pariang, Unity, South Sudan",607.9583333333334,541.0,48,29182.0
"Abiemnhom, Unity, South Sudan",607.9583333333334,541.0,48,29182.0
"Guit, Unity, South Sudan",607.9583333333334,541.0,48,29182.0
"Mayom, Unity, South Sudan",607.9583333333334,541.0,48,29182.0
"Koch, Unity, South Sudan",607.9583333333334,541.0,48,29182.0
"Leer, Unity, South Sudan",607.9583333333334,541.0,48,29182.0
"Panyijiar, Unity, South Sudan",607.9583333333334,541.0,48,29182.0
"Orientale Fishing with Agriculture, Djugu, Ituri, Democratic Republic of the Congo, Congo, The Democratic Republic of the",607.3333333333334,548.0,48,29152.0
"Forest Cultivation and Products, Djugu, Ituri, Democratic Republic of the Congo, Congo, The Democratic Republic of the",607.3333333333334,548.0,48,29152.0
"Artisanal Mining with Agriculture, Djugu, Ituri, Democratic Republic of the Congo, Congo, The Democratic Republic of the",607.3333333333334,548.0,48,29152.0
"Northeast Highlands Agriculture, Djugu, Ituri, Democratic Republic of the Congo, Congo, The Democratic Republic of the",607.3333333333334,548.0,48,29152.0
"Niger and Benue rivers flood plain rice with maize, vegetables, and livestock, Kogi, Nigeria",599.7916666666666,548.0,48,28790.0
"Intensive Artisanal Diamond Exploitation with Crop Cultivation, Kamonia, Kasai, Democratic Republic of the Congo, Congo, The Democratic Republic of the",591.0,506.5,48,28368.0
"Savannah with Cassava and Cowpeas and Small Livestock, Kamonia, Kasai, Democratic Republic of the Congo, Congo, The Democratic Republic of the",591.0,506.5,48,28368.0
"	Intensive Artisanal Diamond Exploitation with Crop Cultivation, Kamonia, Kasai, Democratic Republic of the Congo, Congo, The Democratic Republic of the",591.0,506.5,48,28368.0
"Lighter Forest with Rice and Cassava, Kamonia, Kasai, Democratic Republic of the Congo, Congo, The Democratic Republic of the",591.0,506.5,48,28368.0
"Niger-Benue rivers fishing and food crops, Kwara, Nigeria",586.2291666666666,554.0,48,28139.0
"Niger and Benue rivers flood plain rice with maize, vegetables, and livestock, Kwara, Nigeria",586.2291666666666,554.0,48,28139.0
"Borno-Yobe-Bauchi millet, cowpeas, groundnuts, and sesame, Damaturu, Yobe, Nigeria",586.1666666666666,547.0,48,28136.0
"Copperbelt and Marginal Agriculture, City of Lubumbashi, Haut-Katanga, Democratic Republic of the Congo, Congo, The Democratic Republic of the",585.8125,507.0,48,28119.0
"Northern Plateau Cassava, Maize, Groundnuts and Beans, Bosobolo, North Ubangi, Democratic Republic of the Congo, Congo, The Democratic Republic of the",584.6666666666666,493.5,48,28064.0
"Fishing and Staples Riverine, Bosobolo, North Ubangi, Democratic Republic of the Congo, Congo, The Democratic Republic of the",584.6666666666666,493.5,48,28064.0
"Midland Agricultural Savannah, City of Bukavu, South Kivu, Democratic Republic of the Congo, Congo, The Democratic Republic of the",583.8125,513.0,48,28023.0
"High Food Production and Surplus Trade, Shabunda, South Kivu, Democratic Republic of the Congo, Congo, The Democratic Republic of the",582.5625,499.5,48,27963.0
"Forest Cultivation and Products, Shabunda, South Kivu, Democratic Republic of the Congo, Congo, The Democratic Republic of the",582.5625,499.5,48,27963.0
"Mountain Agropastoral, Shabunda, South Kivu, Democratic Republic of the Congo, Congo, The Democratic Republic of the",582.5625,499.5,48,27963.0
"Borno-Yobe-Bauchi millet, cowpeas, groundnuts, and sesame, Konduga, Borno, Nigeria",580.3541666666666,526.5,48,27857.0
"Mountain Agropastoral, Kalehe, South Kivu, Democratic Republic of the Congo, Congo, The Democratic Republic of the",578.8958333333334,493.5,48,27787.0
"Midland Agricultural Savannah, Kalehe, South Kivu, Democratic Republic of the Congo, Congo, The Democratic Republic of the",578.8958333333334,493.5,48,27787.0
"Equatorial Forest, Hunting, Fishing and Staple Crops, Dekese, Kasai, Democratic Republic of the Congo, Congo, The Democratic Republic of the",578.7083333333334,493.5,48,27778.0
"Fishing and Staples Riverine, Dekese, Kasai, Democratic Republic of the Congo, Congo, The Democratic Republic of the",578.7083333333334,493.5,48,27778.0
"Lighter Forest with Rice and Cassava, Dekese, Kasai, Democratic Republic of the Congo, Congo, The Democratic Republic of the",578.7083333333334,493.5,48,27778.0
"Savannah with Cassava and Cowpeas and Small Livestock, Dekese, Kasai, Democratic Republic of the Congo, Congo, The Democratic Republic of the",578.7083333333334,493.5,48,27778.0
"Savannah Surplus Maize, Kamina, Haut-Lomami, Democratic Republic of the Congo, Congo, The Democratic Republic of the",577.9791666666666,493.5,48,27743.0
"Savannah Cassava, Kamina, Haut-Lomami, Democratic Republic of the Congo, Congo, The Democratic Republic of the",577.9791666666666,493.5,48,27743.0
"Niger-Benue rivers fishing and food crops, Gombi, Adamawa, Nigeria",577.9791666666666,516.0,48,27743.0
"Niger and Benue rivers flood plain rice with maize, vegetables, and livestock, Gombi, Adamawa, Nigeria",577.9791666666666,516.0,48,27743.0
"Forest Cultivation and Products, Punia, Maniema, Democratic Republic of the Congo, Congo, The Democratic Republic of the",577.3958333333334,496.0,48,27715.0
"Artisanal Mining with Agriculture, Punia, Maniema, Democratic Republic of the Congo, Congo, The Democratic Republic of the",577.3958333333334,496.0,48,27715.0
"Savannah Cassava, Dilolo, Lualaba, Democratic Republic of the Congo, Congo, The Democratic Republic of the",576.9166666666666,507.5,48,27692.0
"Agropastoral – Staple Crops, Small Stock and Cattle and Wild Foods, Kasongo-Lunda, Kwango, Democratic Republic of the Congo, Congo, The Democratic Republic of the",576.5833333333334,494.0,48,27676.0
"Fishing and Staples Riverine, Boende, Tshuapa, Democratic Republic of the Congo, Congo, The Democratic Republic of the",576.4375,494.5,48,27669.0
"Cuvette Centrale Staple Crops, Fishing and Charcoal, Boende, Tshuapa, Democratic Republic of the Congo, Congo, The Democratic Republic of the",576.4375,494.5,48,27669.0
"Equatorial Forest, Hunting, Fishing and Staple Crops, Boende, Tshuapa, Democratic Republic of the Congo, Congo, The Democratic Republic of the",576.4375,494.5,48,27669.0
"Artisanal Mining with Agriculture, Kabambare, Maniema, Democratic Republic of the Congo, Congo, The Democratic Republic of the",574.4791666666666,495.0,48,27575.0
"Maniema Savannah Agriculture, Kabambare, Maniema, Democratic Republic of the Congo, Congo, The Democratic Republic of the",574.4791666666666,495.0,48,27575.0
"Forest Cultivation and Products, Kabambare, Maniema, Democratic Republic of the Congo, Congo, The Democratic Republic of the",574.4791666666666,495.0,48,27575.0
"High Food Production and Surplus Trade, Kabambare, Maniema, Democratic Republic of the Congo, Congo, The Democratic Republic of the",574.4791666666666,495.0,48,27575.0
"Mountain Agropastoral, Masisi, North Kivu, Democratic Republic of the Congo, Congo, The Democratic Republic of the",574.2708333333334,493.5,48,27565.0
"Virunga Volcanic Soils Agriculture, Masisi, North Kivu, Democratic Republic of the Congo, Congo, The Democratic Republic of the",574.2708333333334,493.5,48,27565.0
"Bomongo and Makanza Districts Intensive Fishing, Bumba, Mongala, Democratic Republic of the Congo, Congo, The Democratic Republic of the",574.1041666666666,495.5,48,27557.0
"Northern Tanganyika Midland Agriculture, Fizi, South Kivu, Democratic Republic of the Congo, Congo, The Democratic Republic of the",573.75,494.5,48,27540.0
"Bomongo and Makanza Districts Intensive Fishing, Bikoro, Equateur, Democratic Republic of the Congo, Congo, The Democratic Republic of the",573.6458333333334,495.0,48,27535.0
